timestamp,trading_equity,buy_hold_equity
2024-01-02T09:00:00+00:00,10000.00,9834.96
2024-01-02T09:41:00+00:00,10000.00,9815.76
2024-01-02T10:52:00+00:00,10000.00,9809.28
2024-01-02T11:27:00+00:00,10000.00,9750.96
2024-01-02T12:00:00+00:00,10000.00,9748.32
2024-01-02T12:32:00+00:00,10000.00,9739.44
2024-01-02T13:03:00+00:00,10000.00,9823.20
2024-01-02T13:33:00+00:00,10000.00,9730.80
2024-01-02T14:03:00+00:00,10000.00,9730.32
2024-01-02T14:33:00+00:00,10000.00,9731.52
2024-01-02T15:03:00+00:00,10000.00,9695.16
2024-01-02T15:33:00+00:00,10000.00,9653.76
2024-01-02T16:03:00+00:00,10000.00,9660.48
2024-01-02T16:33:00+00:00,10000.00,9689.52
2024-01-02T17:03:00+00:00,10000.00,9695.52
2024-01-02T17:33:00+00:00,10000.00,9689.04
2024-01-02T18:03:00+00:00,10000.00,9658.80
2024-01-02T18:33:00+00:00,10000.00,9669.60
2024-01-02T19:03:00+00:00,10000.00,9642.96
2024-01-02T19:33:00+00:00,10000.00,9646.56
2024-01-02T20:03:00+00:00,10000.00,9612.00
2024-01-02T20:33:00+00:00,10000.00,9624.72
2024-01-02T21:03:00+00:00,10000.00,9670.08
2024-01-02T21:35:00+00:00,10000.00,9666.24
2024-01-02T22:12:00+00:00,10000.00,9667.20
2024-01-02T23:17:00+00:00,10000.00,9663.84
2024-01-03T00:01:00+00:00,10000.00,9662.40
2024-01-03T00:40:00+00:00,10000.00,9660.96
2024-01-03T09:12:00+00:00,10000.00,9633.60
2024-01-03T10:03:00+00:00,10000.00,9620.64
2024-01-03T10:42:00+00:00,10000.00,9633.12
2024-01-03T11:31:00+00:00,10000.00,9614.88
2024-01-03T12:10:00+00:00,10000.00,9612.48
2024-01-03T12:40:00+00:00,10000.00,9598.32
2024-01-03T13:10:00+00:00,10000.00,9600.48
2024-01-03T13:40:00+00:00,10000.00,9617.76
2024-01-03T14:11:00+00:00,10000.00,9594.00
2024-01-03T14:41:00+00:00,10000.00,9611.28
2024-01-03T15:11:00+00:00,10000.00,9586.08
2024-01-03T15:41:00+00:00,10000.00,9569.52
2024-01-03T16:11:00+00:00,10000.00,9592.32
2024-01-03T16:41:00+00:00,10000.00,9573.15
2024-01-03T17:11:00+00:00,10000.00,9569.04
2024-01-03T17:41:00+00:00,10000.00,9586.31
2024-01-03T18:11:00+00:00,10000.00,9597.84
2024-01-03T18:41:00+00:00,10000.00,9586.36
2024-01-03T19:11:00+00:00,10000.00,9585.12
2024-01-03T19:41:00+00:00,10000.00,9597.84
2024-01-03T20:11:00+00:00,10000.00,9575.28
2024-01-03T20:41:00+00:00,10000.00,9573.12
2024-01-03T21:11:00+00:00,10000.00,9557.28
2024-01-03T21:42:00+00:00,10000.00,9557.52
2024-01-03T22:19:00+00:00,10000.00,9560.64
2024-01-03T23:08:00+00:00,10000.00,9565.92
2024-01-03T23:53:00+00:00,10000.00,9564.24
2024-01-04T00:38:00+00:00,10000.00,9567.60
2024-01-04T09:09:00+00:00,10000.00,9577.20
2024-01-04T10:20:00+00:00,10000.00,9585.60
2024-01-04T11:42:00+00:00,10000.00,9567.84
2024-01-04T12:21:00+00:00,10000.00,9552.96
2024-01-04T12:53:00+00:00,10000.00,9554.40
2024-01-04T13:23:00+00:00,10000.00,9537.12
2024-01-04T13:53:00+00:00,10000.00,9524.16
2024-01-04T14:23:00+00:00,10000.00,9517.20
2024-01-04T14:53:00+00:00,10000.00,9531.62
2024-01-04T15:23:00+00:00,10000.00,9544.52
2024-01-04T15:53:00+00:00,10000.00,9557.76
2024-01-04T16:23:00+00:00,10000.00,9586.32
