strategy_name,strategy_type,total_tests,passed_tests,success_rate,avg_return,median_return,std_return,min_return,max_return,avg_sharpe,median_sharpe,avg_drawdown,worst_drawdown,avg_win_rate,avg_profit_factor,avg_trades,best_instrument,worst_instrument,test_dates
Multi-Signal (RSI+BB),Mean Reversion,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,QQQ,QQQ,['strategy_library_1761277403']
VWAP Mean Reversion (threshold=2.0%),Volume-Based,7,0,0.0,-0.8524166624453481,-0.8672108396316057,0.11495536951913111,-0.9725887729209832,-0.6882604010367526,-0.929422868177325,-1.07652286694336,-0.8853913390087161,-0.9748307041871572,0.48116839919210724,0.9569735925626771,28156.714285714286,SPY,AVGO,['strategy_library_1761277403']
EMA Crossover (12/26),Trend Following,7,0,0.0,-0.9748289223254852,-0.9818408357256684,0.025652449164066768,-0.9895165411531088,-0.9176621219442024,-1.4845042488290512,-1.4333269790096712,-0.9834139347460161,-0.9902666330078298,0.49099625178177797,0.917114267526055,28805.14285714286,AVGO,LLY,['strategy_library_1761277403']
"RSI Mean Reversion (period=14, 30/70)",Mean Reversion,7,0,0.0,-0.9822893637385571,-0.9946567031761032,0.0325932911851908,-0.9995025790862134,-0.9094944605539486,-3.1595671459794277,-2.621094666156605,-0.9858361315703602,-0.999508874324568,0.3677734585323002,0.6964128875442165,10712.285714285714,LLY,AAPL,['strategy_library_1761277403']
"Bollinger Bands (period=20, std=2)",Breakout,7,0,0.0,-0.994707343382677,-0.9951068954490924,0.0021748311028324543,-0.9976900507631185,-0.9907312420125572,-4.975918462647232,-4.741960770970969,-0.9948984060790002,-0.9976957116641556,0.2540151154308541,0.42482060892250706,4682.142857142857,AVGO,LLY,['strategy_library_1761277403']
MACD Strategy (from simple_real_validation_1761274437),MACD Crossover,7,0,0.0,-0.9993588510804781,-0.9993762828195408,0.00036054128904661545,-0.9997162180629926,-0.9986625740768348,-6.658177219262924,-5.9469916462973815,-0.9993620193669672,-0.9997169092522228,0.135228247638641,0.22395171019936308,4445.0,AVGO,AAPL,['simple_real_validation_1761274437']
